id,FPR_log,DET_log
583,-4.5233800227,-3.8053866307
584,-4.5182518063,-3.8053866307
585,-4.5131497544,-3.8053866307
586,-4.5030230856,-3.8053866307
587,-4.4979979494,-3.8136171298
588,-4.4855444883,-3.8219159326
589,-4.4830722992,-3.8302841823
590,-4.4732442102,-3.8302841823
591,-4.4659360169,-3.8558174843
592,-4.4586808461,-3.8558174843
593,-4.4538731445,-3.8909088041
594,-4.4419540523,-3.8998774741
595,-4.4395871872,-3.8998774741
596,-4.4348701974,-3.8998774741
597,-4.4348701974,-3.8998774741
598,-4.4208512762,-3.9180597932
599,-4.4162216383,-3.9365788409
600,-4.3956494842,-3.9365788409
601,-4.3933895962,-3.9459685813
602,-4.3821661339,-3.9459685813
603,-4.3754920268,-3.9459685813
604,-4.3666619473,-3.9554473252
605,-4.3622759754,-3.9554473252
606,-4.3535613233,-3.9554473252
607,-4.3513944752,-3.9650167763
608,-4.3492323122,-3.9650167763
609,-4.3492323122,-3.9650167763
610,-4.3449219607,-3.9650167763
611,-4.3427737322,-3.9746786872
612,-4.3278639778,-3.9746786872
613,-4.3257520446,-3.9746786872
614,-4.3194428754,-3.9746786872
615,-4.3194428754,-3.9746786872
616,-4.3131732624,-3.9746786872
617,-4.3110920962,-3.9746786872
618,-4.3028104753,-3.9746786872
619,-4.2986952432,-3.9746786872
620,-4.2986952432,-3.9746786872
621,-4.2925539752,-3.9746786872
622,-4.2884806498,-3.9844348621
623,-4.2803834396,-3.9942871586
624,-4.2743532705,-3.9942871586
625,-4.2663691962,-3.9942871586
626,-4.2584483627,-3.9942871586
627,-4.2564779187,-3.9942871586
628,-4.2525486406,-4.0042374894
629,-4.2486347412,-4.0042374894
630,-4.2447361008,-4.0142878253
631,-4.2408526008,-4.0142878253
632,-4.2350554831,-4.0142878253
633,-4.2312093245,-4.0142878253
634,-4.2273779022,-4.0142878253
635,-4.2235611037,-4.0142878253
636,-4.2084379421,-4.0142878253
637,-4.2028252052,-4.0244401967
638,-4.1972437954,-4.0244401967
639,-4.1935400874,-4.0244401967
640,-4.1880101194,-4.0244401967
641,-4.1806840793,-4.0346966969
642,-4.1770410881,-4.0346966969
643,-4.1752245571,-4.0346966969
644,-4.17341132,-4.0450594839
645,-4.1697946795,-4.0450594839
646,-4.166191072,-4.0450594839
647,-4.1626004039,-4.0450594839
648,-4.1590225826,-4.0450594839
649,-4.1536797381,-4.0555307838
650,-4.1483652881,-4.0661128931
651,-4.1430789322,-4.0768081823
652,-4.1378203749,-4.0768081823
653,-4.1378203749,-4.0768081823
654,-4.1325893255,-4.0768081823
655,-4.1239312627,-4.0768081823
656,-4.1204889186,-4.0768081823
657,-4.1119345465,-4.0768081823
658,-4.1068368294,-4.0768081823
659,-4.0983979607,-4.0768081823
660,-4.086701921,-4.0768081823
661,-4.0817309083,-4.0876190984
662,-4.0735004091,-4.0876190984
663,-4.0685944304,-4.0876190984
664,-4.0653370985,-4.0876190984
665,-4.0620903424,-4.0876190984
666,-4.0476089952,-4.0876190984
667,-4.0380699721,-4.0876190984
668,-4.0333343674,-4.0876190984
669,-4.0286210829,-4.0876190984
670,-4.0161598625,-4.0876190984
671,-4.0161598625,-4.0985481689
672,-4.0161598625,-4.0985481689
673,-4.0115266496,-4.1095980051
674,-4.005382237,-4.1207713057
675,-4.0007985773,-4.1320708609
676,-3.9932055264,-4.1434995567
677,-3.9886772168,-4.1434995567
678,-3.9886772168,-4.1434995567
679,-3.9811753062,-4.1434995567
680,-3.9781902293,-4.1434995567
681,-3.9722466754,-4.1434995567
682,-3.9707662902,-4.1434995567
683,-3.9663382387,-4.1434995567
684,-3.9633970601,-4.1434995567
685,-3.9560817386,-4.1434995567
686,-3.9502677687,-4.1434995567
687,-3.9488195425,-4.1434995567
688,-3.941609706,-4.1550603792
689,-3.9358790312,-4.1550603792
690,-3.9301810101,-4.1550603792
691,-3.9259287004,-4.1785908766
692,-3.9202869365,-4.1785908766
693,-3.9160764039,-4.1785908766
694,-3.9132791993,-4.1785908766
695,-3.9049342274,-4.1785908766
696,-3.9021679739,-4.1785908766
697,-3.8925459065,-4.1785908766
698,-3.8857292476,-4.1785908766
699,-3.8843714741,-4.1785908766
700,-3.8762633216,-4.1785908766
701,-3.8708941812,-4.2026884281
702,-3.8655537145,-4.2149585207
703,-3.8615669983,-4.2149585207
704,-3.8549575889,-4.2399598229
705,-3.8510128106,-4.2399598229
706,-3.849701335,-4.2526988487
707,-3.8457771965,-4.2526988487
708,-3.8392709927,-4.2656022536
709,-3.8379748163,-4.2656022536
710,-3.8315190159,-4.2656022536
711,-3.8315190159,-4.2656022536
712,-3.8289483204,-4.2656022536
713,-3.8200025739,-4.2786743351
714,-3.8086172516,-4.2786743351
715,-3.7998507584,-4.2919195619
716,-3.793635698,-4.2919195619
717,-3.7862282567,-4.3053425822
718,-3.7813202714,-4.3189482343
719,-3.7740031656,-4.3327415564
720,-3.7655336655,-4.3467277984
721,-3.7571352958,-4.3609124334
722,-3.7523677063,-4.3753011708
723,-3.7452586716,-4.3753011708
724,-3.7381998188,-4.3753011708
725,-3.730026977,-4.3753011708
726,-3.7253865975,-4.3753011708
727,-3.7230744577,-4.3753011708
728,-3.7150238104,-4.3753011708
729,-3.7115932754,-4.3753011708
730,-3.7059017404,-4.3898999702
731,-3.7002424157,-4.3898999702
732,-3.6946149388,-4.404715056
733,-3.690135648,-4.4197529334
734,-3.6834541087,-4.450524592
735,-3.6834541087,-4.4985338112
736,-3.6812368129,-4.4985338112
737,-3.6779200602,-4.4985338112
738,-3.6746142721,-4.4985338112
739,-3.6669430016,-4.4985338112
740,-3.66149933,-4.5150631132
741,-3.6582472946,-4.5150631132
742,-3.6550058007,-4.5489646649
743,-3.650700089,-4.5489646649
744,-3.644276084,-4.5489646649
745,-3.641079491,-4.5489646649
746,-3.6357744388,-4.5489646649
747,-3.632604864,-4.5663564076
748,-3.6294453037,-4.5663564076
749,-3.6221115883,-4.6020744902
750,-3.6137955321,-4.6020744902
751,-3.6065752841,-4.6020744902
752,-3.5994067946,-4.6204236288
753,-3.5973680579,-4.6204236288
754,-3.5922893269,-4.6204236288
755,-3.5912766685,-4.6391157619
756,-3.58120609,-4.6391157619
757,-3.575212066,-4.6391157619
758,-3.5682641473,-4.6391157619
759,-3.5653011821,-4.6391157619
760,-3.5633307381,-4.6391157619
761,-3.5603823331,-4.6391157619
762,-3.5584215481,-4.6391157619
763,-3.5564646003,-4.6391157619
764,-3.5506166305,-4.6391157619
765,-3.5467368972,-4.6391157619
766,-3.5419083026,-4.6391157619
767,-3.538062144,-4.6581639568
768,-3.5323205014,-4.6581639568
769,-3.5237693804,-4.6581639568
770,-3.5181089879,-4.6581639568
771,-3.5152907616,-4.6775820427
772,-3.5124804553,-4.69738467
773,-3.5096780247,-4.7175873773
774,-3.5059536256,-4.7382066645
775,-3.4994691193,-4.7382066645
776,-3.4967028658,-4.7382066645
777,-3.4930263911,-4.7382066645
778,-3.4857137442,-4.7382066645
779,-3.4775504336,-4.7592600737
780,-3.4712469458,-4.7592600737
781,-3.4623103358,-4.7592600737
